ID,Sporelayer,Quickener,Generation,Birth_step,Death_step,Lifespan,Sex_check
126054,123710,123710,50,10000,0,-10000,0
145551,141253,141253,70,10000,0,-10000,0
270270,220582,220582,87,10000,0,-10000,0
317828,306797,306797,95,10000,0,-10000,0
339241,330746,330746,93,10000,0,-10000,0
404547,397908,397908,91,10000,0,-10000,0
450968,446931,446931,127,10000,0,-10000,0
467336,420277,420277,89,10000,0,-10000,0
478987,454466,454466,108,10000,0,-10000,0
491679,480002,480002,120,10000,0,-10000,0
511427,507678,507678,121,10000,0,-10000,0
528073,517779,517779,100,10000,0,-10000,0
561260,228799,228799,48,10000,0,-10000,0
576654,568804,568804,169,10000,0,-10000,0
580676,508559,508559,109,10000,0,-10000,0
618460,524091,524091,112,10000,0,-10000,0
704475,637200,637200,105,10000,0,-10000,0
749312,657242,657242,107,10000,0,-10000,0
809370,452867,452867,102,10000,0,-10000,0
857770,702938,702938,175,10000,0,-10000,0
862944,822934,822934,145,10000,0,-10000,0
862950,834191,834191,59,10000,0,-10000,0
896423,867875,867875,144,10000,0,-10000,0
945241,910568,910568,150,10000,0,-10000,0
962833,955800,955800,137,10000,0,-10000,0
985529,805206,805206,144,10000,0,-10000,0
999350,950278,950278,97,10000,0,-10000,0
1076181,1063230,1063230,148,10000,0,-10000,0
1089704,1076775,1076775,147,10000,0,-10000,0
1098353,1047187,1047187,125,10000,0,-10000,0
1105887,1072162,1072162,160,10000,0,-10000,0
1128186,1013641,1013641,42,10000,0,-10000,0
1140335,1015547,1015547,101,10000,0,-10000,0
1146544,1122440,1122440,146,10000,0,-10000,0
1177626,1005906,1005906,123,10000,0,-10000,0
1179538,1043070,1043070,146,10000,0,-10000,0
1208199,1182774,1182774,130,10000,0,-10000,0
1208898,1167758,1167758,172,10000,0,-10000,0
1215119,855041,855041,137,10000,0,-10000,0
1223120,1203643,1203643,150,10000,0,-10000,0
1225943,1223251,1223251,111,10000,0,-10000,0
1227731,1025402,1025402,145,10000,0,-10000,0
1228429,1225943,1225943,112,10000,0,-10000,0
1231351,1223167,1223167,151,10000,0,-10000,0
1236659,618460,618460,113,10000,0,-10000,0
1243435,1172268,1172268,203,10000,0,-10000,0
1272281,1167759,1167759,149,10000,0,-10000,0
1286684,1272323,1272323,150,10000,0,-10000,0
1287011,1267608,1267608,139,10000,0,-10000,0
1291944,452867,452867,102,10000,0,-10000,0
1292351,1283724,1283724,144,10000,0,-10000,0
1306801,1234514,1234514,151,10000,0,-10000,0
1327787,1258900,1258900,116,10000,0,-10000,0
1329116,1074532,1074532,146,10000,0,-10000,0
1339882,1098528,1098528,111,10000,0,-10000,0
1363734,1342495,1342495,113,10000,0,-10000,0
1369920,1342495,1342495,113,10000,0,-10000,0
1384320,1375408,1375408,144,10000,0,-10000,0
1390402,1280793,1280793,151,10000,0,-10000,0
1394974,1176215,1176215,113,10000,0,-10000,0
