ID,Sporelayer,Quickener,Generation,Birth_step,Death_step,Lifespan,Sex_check,cgen
1,0,0,0,0,1899,1899,0,8
2,1,1,1,0,299,299,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFAAD_1_APBRAFBM_1_FB_-1_0_APAFAFBMADFC_-1_1_APBRAFBMADFD_1_0_APBRAFBMADFE_1_-1_APBRBRBMADFF_0_1_APBRAFBMADFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMA
3,2,2,2,0,149,149,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFAAD_1_APBRAFBM_1_FB_-1_0_APAFAFBMADFC_-1_1_APBRAFBMADFD_1_0_APBRAFBMADFE_1_-1_APBRBRBMADFF_0_1_APBRAFBMADFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMA
4,3,3,3,0,899,899,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFAAD_1_APBRAFBM_1_FB_-1_0_APAFAFBMADFC_-1_1_APBRAFBMADFD_1_0_APBRAFBMADFE_1_-1_APBRADFF_0_1_APBRAFBMADFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMA
5,1,1,1,50,2099,2049,0,23
6,4,4,4,50,1249,1199,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AAAA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFAAD_1_APBRAFBM_1_FB_-1_0_APAFAFBMADFC_-1_1_APBRAFBMADFD_1_0_APBRAFBMADFE_1_-1_APBRADFF_0_1_APBRAFBMADFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMA
7,5,5,2,50,499,449,0,23
8,6,6,5,50,149,99,0,31
9,7,7,3,50,549,499,0,23
10,8,8,6,50,199,149,0,31
11,9,9,4,100,0,-100,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APAFBMBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRAFBMADFD_1_BRAPBRBRAFADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_APBRAFADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
12,10,10,7,100,199,99,0,31
13,5,5,2,100,599,499,0,23
