288346 288258 286217 259:[20000]
300239 298773 298773 265:[20000]
301771 284736 284736 259:[20000]
301917 297020 297020 227:[20000, 20877]
302064 299395 299395 244:[20000]
302397 302064 302064 245:[20000]
302533 302397 302397 246:[20000]
302833 301771 301771 260:[20000, 20043]
303668 302833 302833 261:[20000]
303794 303683 303683 300:[20000, 20151]
304283 300571 302526 280:[20000, 20142]
304571 304433 303119 301:[20000, 20063]
304703 304207 304207 281:[20000, 20056]
304711 303155 303155 281:[20000, 20163]
305018 300243 300243 278:[20000, 20064]
305182 302077 302077 284:[20000, 20013]
305191 304071 304071 281:[20000, 20072]
305205 304766 304766 284:[20000, 20030]
305218 288346 304349 266:[20000]
305235 302728 302728 301:[20000, 20130]
305302 304626 304626 255:[20000, 20376]
305321 304443 304443 230:[20000]
305479 305013 305013 300:[20000, 20121]
305572 305269 305269 279:[20000, 20151]
305672 305389 305389 285:[20000, 20219]
305680 305062 305062 278:[20000, 20169]
305733 304571 304571 302:[20000, 20039]
305763 305136 305136 275:[20000, 20172]
305840 303500 305550 299:[20000, 20073]
305837 305384 305384 285:[20000, 20151]
305979 305641 305641 241:[20000, 20173]
306102 305490 301816 267:[20000, 20055]
306137 306013 306013 282:[20000, 20113]
306202 303608 303608 244:[20000, 20097]
306227 304995 304995 283:[20000, 20257]
306267 305836 306161 286:[20000, 20011]
306273 305837 305837 286:[20000, 20033]
306282 304176 304176 287:[20000, 20009]
306336 305752 305752 284:[20000, 20170]
306347 306073 306073 281:[20000, 20038]
306383 304655 304655 283:[20000, 20073]
306402 306239 306239 286:[20000, 20103]
306456 306334 305205 285:[20000, 20085]
306526 302880 305627 288:[20000, 20272]
306531 305974 305974 287:[20000, 20461]
306542 306432 306432 244:[20000, 20106]
306580 305987 305987 305:[20000, 20054]
306594 304885 304885 282:[20000, 20184]
306612 306347 306347 282:[20000, 20049]
306649 305860 305860 289:[20000, 20128]
306703 306420 306420 244:[20000, 20245]
306729 306586 306586 244:[20000, 20040]
306728 306463 306463 267:[20000]
306741 306631 306631 305:[20000, 20001]
306739 306239 306239 286:[20000, 20085]
306746 306282 306282 288:[20000, 20015]
306809 306539 306539 285:[20000, 20038]
306815 306700 306700 289:[20000, 20124]
306819 304919 304919 241:[20000, 20075]
306831 306434 306434 283:[20000, 20024]
306827 306274 306274 287:[20000, 20075]
306841 306575 306575 279:[20000, 20025]
306852 305829 305829 300:[20000, 20040]
306863 303800 303800 274:[20000, 20040]
306903 305382 305382 285:[20000, 20005]
306937 306804 306804 304:[20000, 20154]
306968 306700 306700 289:[20000, 20101]
306978 306712 306712 282:[20000, 20052]
306993 306865 306865 283:[20000, 20107]
306991 306563 306563 283:[20000, 20137]
306990 306565 306565 287:[20000, 20109]
306995 305395 305395 303:[20000, 20018]
307012 306737 306898 306:[20000, 20051]
307038 305185 305185 287:[20000, 20049]
307062 306929 306929 244:[20000, 20041]
307061 306794 306794 285:[20000, 20052]
