C:\Program Files (x86)\Evolve>evolve_batch s 10000u "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_20001.evolve" "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve"
Input:  C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_20001.evolve
Output: C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve
About to simulate universe for 10000 steps...
---------- BEGIN ----------
Step: 21001, Organisms: 9991,  Born: 2426676, Died: 2416686
Step: 22001, Organisms: 10238,  Born: 2659724, Died: 2649487
Step: 23001, Organisms: 11302,  Born: 2909806, Died: 2898505
Step: 24001, Organisms: 11431,  Born: 3179582, Died: 3168152
Step: 25001, Organisms: 11264,  Born: 3452625, Died: 3441362
Step: 26001, Organisms: 11102,  Born: 3724211, Died: 3713110
Step: 27001, Organisms: 10986,  Born: 3988566, Died: 3977581
Step: 28001, Organisms: 12000,  Born: 4265674, Died: 4253675
Step: 29001, Organisms: 12131,  Born: 4557345, Died: 4545215
Step: 30001, Organisms: 12070,  Born: 4849954, Died: 4837885
---------- END ----------

C:\Program Files (x86)\Evolve>evolve_batch s 120000u "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve" "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_150001.evolve"
Input:  C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve
Output: C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_150001.evolve
About to simulate universe for 120000 steps...
---------- BEGIN ----------
Step: 31001, Organisms: 12111,  Born: 5141408, Died: 5129298
Step: 32001, Organisms: 11721,  Born: 5428837, Died: 5417117
Step: 33001, Organisms: 11546,  Born: 5704252, Died: 5692707
Step: 34001, Organisms: 10990,  Born: 5971910, Died: 5960921
Step: 35001, Organisms: 11134,  Born: 6231292, Died: 6220159
Step: 36001, Organisms: 11410,  Born: 6492820, Died: 6481411
Step: 37001, Organisms: 11288,  Born: 6755026, Died: 6743739
Step: 38001, Organisms: 11091,  Born: 7012942, Died: 7001852
Step: 39001, Organisms: 11299,  Born: 7276076, Died: 7264778
Step: 40001, Organisms: 11165,  Born: 7531025, Died: 7519861
Step: 41001, Organisms: 11153,  Born: 7783181, Died: 7772029
Step: 42001, Organisms: 11339,  Born: 8029207, Died: 8017869
Step: 43001, Organisms: 11032,  Born: 8274096, Died: 8263065
Step: 44001, Organisms: 10557,  Born: 8514389, Died: 8503833
Step: 45001, Organisms: 10689,  Born: 8748927, Died: 8738239
Step: 46001, Organisms: 10572,  Born: 8989246, Died: 8978675
Step: 47001, Organisms: 10677,  Born: 9231570, Died: 9220894
Step: 48001, Organisms: 10450,  Born: 9475952, Died: 9465503
Step: 49001, Organisms: 10307,  Born: 9719478, Died: 9709172
Step: 50001, Organisms: 10211,  Born: 9962082, Died: 9951872
Step: 51001, Organisms: 10337,  Born: 10210511, Died: 10200175
Step: 52001, Organisms: 10278,  Born: 10457064, Died: 10446787
Step: 53001, Organisms: 10152,  Born: 10701608, Died: 10691457
Step: 54001, Organisms: 10226,  Born: 10948304, Died: 10938079
Step: 55001, Organisms: 10041,  Born: 11187767, Died: 11177727
Step: 56001, Organisms: 9859,  Born: 11427343, Died: 11417485
Step: 57001, Organisms: 9649,  Born: 11664142, Died: 11654494
Step: 58001, Organisms: 9744,  Born: 11896774, Died: 11887031
Step: 59001, Organisms: 9500,  Born: 12129714, Died: 12120215
Step: 60001, Organisms: 9487,  Born: 12360279, Died: 12350793
Step: 61001, Organisms: 9232,  Born: 12588564, Died: 12579333
Step: 62001, Organisms: 8929,  Born: 12812439, Died: 12803511
Step: 63001, Organisms: 8699,  Born: 13029240, Died: 13020542
Step: 64001, Organisms: 8615,  Born: 13243077, Died: 13234463
Step: 65001, Organisms: 8594,  Born: 13453618, Died: 13445025
Step: 66001, Organisms: 8609,  Born: 13662575, Died: 13653967
Step: 67001, Organisms: 8533,  Born: 13869391, Died: 13860859
Step: 68001, Organisms: 8364,  Born: 14070860, Died: 14062497
Step: 69001, Organisms: 8469,  Born: 14267341, Died: 14258873
Step: 70001, Organisms: 8274,  Born: 14461637, Died: 14453364
Step: 71001, Organisms: 8036,  Born: 14649244, Died: 14641209
Step: 72001, Organisms: 7774,  Born: 14831210, Died: 14823437
Step: 73001, Organisms: 7892,  Born: 15012682, Died: 15004791
Step: 74001, Organisms: 7837,  Born: 15195647, Died: 15187811
Step: 75001, Organisms: 7722,  Born: 15376432, Died: 15368711
Step: 76001, Organisms: 7468,  Born: 15553746, Died: 15546279
Step: 77001, Organisms: 7094,  Born: 15724168, Died: 15717075
Step: 78001, Organisms: 6718,  Born: 15887486, Died: 15880769
Step: 79001, Organisms: 6779,  Born: 16048941, Died: 16042163
Step: 80001, Organisms: 6674,  Born: 16208935, Died: 16202262
Step: 81001, Organisms: 6537,  Born: 16365713, Died: 16359177
Step: 82001, Organisms: 6453,  Born: 16516176, Died: 16509724
Step: 83001, Organisms: 6477,  Born: 16665805, Died: 16659329
Step: 84001, Organisms: 6388,  Born: 16812588, Died: 16806201
Step: 85001, Organisms: 6244,  Born: 16956216, Died: 16949973
Step: 86001, Organisms: 6115,  Born: 17095958, Died: 17089844
Step: 87001, Organisms: 5987,  Born: 17233673, Died: 17227687
Step: 88001, Organisms: 5964,  Born: 17369845, Died: 17363882
Step: 89001, Organisms: 5756,  Born: 17501002, Died: 17495247
Step: 90001, Organisms: 5706,  Born: 17627934, Died: 17622229
Step: 91001, Organisms: 5496,  Born: 17753242, Died: 17747747
Step: 92001, Organisms: 5386,  Born: 17876806, Died: 17871421
Step: 93001, Organisms: 5185,  Born: 17998938, Died: 17993754
Step: 94001, Organisms: 5202,  Born: 18118368, Died: 18113167
Step: 95001, Organisms: 5039,  Born: 18232534, Died: 18227496
Step: 96001, Organisms: 5016,  Born: 18347785, Died: 18342770
Step: 97001, Organisms: 5214,  Born: 18468522, Died: 18463309
Step: 98001, Organisms: 5133,  Born: 18590331, Died: 18585199
Step: 99001, Organisms: 5179,  Born: 18711266, Died: 18706088
Step: 100001, Organisms: 5307,  Born: 18832813, Died: 18827507
Step: 101001, Organisms: 5201,  Born: 18953713, Died: 18948513
Step: 102001, Organisms: 5299,  Born: 19075012, Died: 19069714
Step: 103001, Organisms: 5216,  Born: 19191547, Died: 19186332
Step: 104001, Organisms: 5097,  Born: 19308645, Died: 19303549
