1 0 0 0:[0, 249]
2 1 1 1:[10, 19]
3 1 1 1:[40, 119]
4 3 3 2:[60, 69]
5 1 1 1:[70, 89]
6 3 3 2:[90, 299]
7 1 1 1:[110, 249]
8 7 7 2:[120, 239]
10 8 8 3:[140, 209]
9 6 6 3:[140, 149]
11 1 1 1:[140, 429]
12 10 10 4:[150, 199]
14 11 11 2:[150, 169]
13 7 7 2:[150, 189]
15 12 12 5:[160, 239]
18 13 13 3:[170, 199]
17 8 8 3:[170, 309]
16 6 6 3:[170, 199]
19 1 1 1:[170, 379]
20 15 15 6:[180, 319]
21 10 10 4:[180, 199]
24 19 19 2:[190, 199]
23 11 11 2:[190, 299]
22 7 7 2:[190, 329]
25 20 20 7:[190, 359]
26 12 12 5:[200, 219]
29 22 22 3:[200, 419]
28 8 8 3:[200, 239]
27 6 6 3:[200, 339]
30 25 25 8:[210, 249]
31 1 1 1:[210, 379]
32 26 26 6:[210, 269]
36 27 27 4:[220, 229]
35 28 28 4:[220, 269]
34 29 29 4:[220, 229]
33 17 17 4:[220, 229]
37 30 30 9:[220, 439]
41 31 31 2:[220, 419]
40 19 19 2:[220, 229]
39 11 11 2:[220, 229]
38 7 7 2:[220, 229]
43 32 32 7:[220, 229]
42 20 20 7:[220, 239]
44 34 34 5:[230, 409]
45 37 37 10:[230, 299]
50 41 41 3:[230, 279]
49 22 22 3:[230, 329]
48 23 23 3:[230, 249]
47 8 8 3:[230, 349]
46 6 6 3:[230, 309]
51 25 25 8:[240, 249]
52 1 1 1:[240, 319]
53 44 44 6:[240, 259]
54 45 45 11:[250, 569]
60 46 46 4:[250, 279]
59 49 49 4:[250, 259]
58 50 50 4:[250, 289]
57 27 27 4:[250, 479]
56 29 29 4:[250, 259]
55 17 17 4:[250, 259]
64 52 52 2:[250, 519]
63 31 31 2:[250, 269]
62 19 19 2:[250, 269]
61 11 11 2:[250, 309]
66 32 32 7:[260, 319]
65 20 20 7:[260, 319]
67 54 54 12:[260, 409]
69 57 57 5:[260, 279]
70 37 37 10:[270, 289]
75 64 64 3:[270, 339]
74 41 41 3:[270, 279]
73 22 22 3:[270, 279]
72 23 23 3:[270, 439]
71 6 6 3:[270, 449]
78 65 65 8:[270, 289]
77 66 66 8:[270, 309]
76 25 25 8:[270, 279]
79 67 67 13:[280, 439]
