,0
533766,8
530422,8
518858,8
497129,8
464335,7
301934,7
282772,7
312516,7
343683,7
314992,7
286256,7
307764,7
314958,7
317389,7
332751,7
263713,7
316023,7
331653,7
334078,7
466213,7
325583,7
350758,7
369378,7
324412,7
321959,7
530344,7
309069,7
520545,7
507619,7
280783,7
346130,7
524805,7
518916,7
310398,7
521835,7
475817,7
195751,7
287894,7
274770,7
533401,7
308041,7
485846,7
303262,7
488750,7
336292,7
303242,7
530602,6
533208,6
525411,6
425064,6
533209,6
466620,6
459570,6
227129,6
427807,6
433063,6
475442,6
497698,6
444154,6
448737,6
520659,6
518088,6
433115,6
512096,6
509295,6
467818,6
530645,6
519070,6
532165,6
443286,6
527723,6
331342,6
233421,6
475441,6
333850,6
318953,6
447018,6
479211,6
510018,6
493398,6
503393,6
321425,6
517914,6
323971,6
486288,6
485866,6
520138,6
473366,6
490453,6
491866,5
530319,5
502391,5
479985,5
497536,5
483413,5
497315,5
430648,5
503208,5
485124,5
489035,5
497519,5
494711,5
533745,5
533798,5
419824,5
462195,5
493433,5
431923,5
464885,5
462061,5
496255,5
267316,5
500368,5
528611,5
533278,5
504977,5
241545,5
434208,5
239246,5
422224,5
510084,5
484582,5
517007,5
521687,5
524365,5
421044,5
513880,5
520044,5
425014,5
456452,5
512895,5
527323,5
519122,5
476836,5
511426,5
516510,5
507343,5
482491,5
486081,5
499877,5
487764,5
486230,5
533218,5
484906,5
514862,5
529612,5
507855,5
496800,5
484110,5
499894,5
510327,5
511766,5
439489,5
526360,5
495398,5
498270,5
526974,5
504516,5
499507,5
531779,5
471797,5
520365,5
533067,5
510531,5
534484,5
503410,5
485670,5
514379,5
511606,5
521636,5
502180,5
467799,5
453151,5
269930,5
475620,5
501250,5
514071,5
485425,5
261173,5
471802,5
516912,5
449881,5
532435,5
498290,5
482769,5
525092,5
361437,5
496711,5
445846,5
524395,5
479533,5
515832,5
456130,5
505189,5
531070,5
510299,5
510857,5
514045,5
465015,5
423774,5
515522,5
528255,5
532499,5
475000,5
533929,5
423788,5
534277,5
511186,5
422620,5
518276,5
523009,5
461411,5
506436,5
472350,5
511891,5
466294,5
517338,5
507119,5
509147,5
531457,5
431207,5
501217,5
516184,5
521266,5
514622,5
519403,5
468961,5
468938,5
526989,5
530792,5
525793,5
520194,5
522488,5
503660,5
507052,5
485691,4
473985,4
400325,4
430281,4
477513,4
491678,4
331873,4
422640,4
520864,4
246678,4
398364,4
432619,4
495314,4
508719,4
414208,4
506121,4
471891,4
427362,4
497981,4
506138,4
483141,4
460395,4
483149,4
438221,4
432701,4
477747,4
410656,4
449353,4
387202,4
532852,4
512207,4
400321,4
370532,4
477530,4
491671,4
503097,4
389810,4
424607,4
506592,4
373136,4
523860,4
248962,4
488835,4
443766,4
501146,4
471776,4
520113,4
479804,4
480379,4
449986,4
458836,4
515002,4
471777,4
431094,4
491549,4
418960,4
476889,4
529789,4
408799,4
324622,4
433373,4
367974,4
435413,4
429901,4
419843,4
400388,4
474617,4
486020,4
503225,4
248961,4
509086,4
407942,4
405631,4
514965,4
443764,4
504133,4
419638,4
475373,4
497381,4
390412,4
422847,4
512001,4
329466,4
402980,4
416287,4
443765,4
429947,4
514929,4
403012,4
327033,4
498247,4
505869,4
440997,4
405219,4
392399,4
440998,4
441045,4
477547,4
511983,4
507053,4
422613,4
460404,4
400983,4
466980,4
238284,4
249956,4
464483,4
401543,4
458883,4
494509,4
447827,4
414685,4
512812,4
412109,4
509949,4
425813,4
414678,4
477764,4
417451,4
417438,4
398913,4
533727,4
412095,4
412086,4
456096,4
436653,4
515631,4
327733,4
414726,4
447756,4
486546,4
450564,4
442846,4
435084,4
446996,4
479200,4
517397,4
482815,4
525550,4
534294,4
480014,4
418635,4
426782,4
528474,4
528453,4
370006,4
534110,4
446226,4
426792,4
532393,4
269729,4
390382,4
446201,4
414177,4
477762,4
509877,4
410621,4
267308,4
453303,4
416951,4
461621,4
515636,4
500904,4
398849,4
431142,4
393096,4
467353,4
527162,4
534125,4
512731,4
463913,4
377601,4
468932,4
442199,4
460058,4
434326,4
439761,4
440014,4
461620,4
470154,4
472510,4
497253,4
461619,4
385232,4
462944,4
398383,4
464190,4
522962,4
481670,4
474794,4
528128,4
478697,4
480717,4
533021,4
406741,4
453380,4
471860,4
428315,4
524285,4
403659,4
480736,4
382668,4
428325,4
515822,4
458846,4
531122,4
466045,4
428392,4
502299,4
412118,4
483613,4
409426,4
464470,4
444966,4
503703,4
475669,4
519545,4
522564,4
520059,4
489220,4
526357,4
457952,4
527320,4
477778,4
467991,4
226723,4
471383,4
465154,4
391975,4
523406,4
525927,4
388896,4
408620,4
474819,4
494917,4
391519,4
502400,4
487969,4
434553,4
476096,4
484821,4
484895,4
517049,4
505355,4
529022,4
485097,4
494880,4
408619,4
490816,4
468506,4
445679,4
523433,4
520509,4
507840,4
463601,4
492371,4
463611,4
509481,4
490795,4
433007,4
533276,4
404811,4
418087,4
481972,4
392706,4
341546,4
419249,4
231194,4
483226,4
355377,4
459722,4
531950,4
352855,4
360501,4
494895,4
502179,4
217291,4
490689,4
431754,4
339035,4
470831,4
459544,4
221535,4
479530,4
426260,4
407494,4
452819,4
504958,4
431751,4
499503,4
442847,4
429006,4
448480,4
482349,4
230264,4
410089,4
487927,4
487942,4
381303,4
516319,4
510681,4
451196,4
462363,4
442863,4
386344,4
437317,4
481970,4
403598,4
513465,4
456750,4
484844,4
523052,4
399509,4
476593,4
388163,4
487842,4
473750,4
473196,4
487778,4
417037,4
473225,4
383817,4
440113,4
404852,4
215129,4
449936,4
344116,4
420796,4
440095,4
402169,4
391509,4
528974,4
532046,4
532016,4
415998,4
415402,4
466793,4
502009,4
456400,4
393152,4
441659,4
238819,4
238861,4
414251,4
490475,4
404446,4
454461,4
490536,4
464898,4
456481,4
501999,4
236551,4
499035,4
499056,4
461979,4
531657,4
450857,4
450858,4
450864,4
391182,4
396552,4
453647,4
451559,4
434234,4
456406,4
464859,4
500748,4
439788,4
448103,4
419841,4
481904,4
507011,4
510647,4
496155,4
467671,4
496119,4
516580,4
519580,4
448090,4
495286,4
439753,4
390396,4
439762,4
431438,4
513075,4
525514,4
445340,4
501803,4
425944,4
504647,4
461978,4
387790,4
452772,4
445360,4
442528,4
474842,4
507851,4
529140,4
435813,4
492446,4
469270,4
489482,4
388938,4
228953,4
503623,4
492027,4
468014,4
284652,4
357905,4
506594,4
465162,4
393891,4
380171,4
386388,4
492419,4
503629,4
411273,4
507843,4
480757,4
497790,4
405954,4
500749,4
497781,4
480277,4
485717,4
488600,4
504195,4
489438,4
375050,4
442520,4
442515,4
453649,4
495705,4
214278,4
417802,4
238562,4
477865,4
413896,4
500740,4
474845,4
514745,4
477316,4
380157,4
457347,4
512874,4
489054,4
466489,4
224624,4
466409,4
530343,4
413871,4
424815,4
382367,4
435770,4
532671,4
489082,4
520331,4
511724,4
486261,4
486210,4
500387,4
500403,4
517334,4
531959,4
491850,4
503211,4
523194,4
463420,4
520264,4
490997,4
512462,4
457854,4
457798,4
520279,4
523187,4
483384,4
483405,4
497537,4
483410,4
493920,4
476390,4
506017,4
486260,4
500367,4
486211,4
467480,4
514766,4
533221,4
524490,4
498805,4
470329,4
504494,4
478901,4
533198,4
533191,4
498832,4
493109,4
507357,4
500361,4
507313,4
504484,4
526114,4
491925,4
531943,4
491876,4
491875,4
522475,4
526095,4
526098,4
531985,4
514977,4
497548,4
531381,4
471943,4
478065,4
520440,4
499104,4
499099,4
521916,4
521913,4
531378,4
476441,4
476470,4
493491,4
501981,4
508073,4
519020,4
518702,4
505792,4
518675,4
528784,4
518915,4
439939,4
482149,4
482147,4
530633,4
301478,4
496262,4
524794,4
493459,4
493439,4
499101,4
511919,4
255557,4
506027,4
529027,4
514523,4
494773,4
514527,4
497515,4
494731,4
528956,4
528976,4
509115,4
489018,4
445535,4
532235,4
489034,4
494723,4
520262,4
508854,4
508865,4
508866,4
521870,4
527704,4
511248,4
513359,4
512888,4
498765,4
490608,4
532471,4
481470,4
481456,4
514719,4
512609,4
526990,4
478605,4
492762,4
492730,4
518214,4
518275,4
515500,4
515471,4
526636,4
526637,4
532670,4
480206,4
482974,4
482981,4
468750,4
500976,4
482992,4
483010,4
480194,4
531609,4
468798,4
487040,4
487028,4
532097,4
522489,4
469583,4
491133,4
502489,4
490153,4
519553,4
493032,4
531190,4
531189,4
534086,4
513780,4
511007,4
522470,4
521217,4
516682,4
534085,4
525382,4
496856,4
524079,4
494009,4
495941,4
489968,4
483006,4
529878,4
484262,4
514205,4
478860,4
467503,4
474479,4
525027,4
471590,4
519977,4
517034,4
534543,4
465969,4
513464,4
481784,4
528787,4
510059,4
510072,4
526402,4
473262,4
521497,4
518661,4
464703,4
527397,4
481768,4
527408,4
461854,4
533720,4
476078,4
473237,4
473252,4
481765,4
477343,4
511425,4
477317,4
522825,4
525699,4
532539,4
529584,4
528627,4
528615,4
531578,4
474492,4
529515,4
502922,4
512236,4
485821,4
523781,4
534494,4
531598,4
523734,4
517886,4
515100,4
525735,4
530805,4
514150,4
480199,4
530087,4
511387,4
517010,4
524764,4
508766,4
487804,4
510832,4
454176,4
462533,4
479646,4
465337,4
432283,4
479627,4
281614,4
533901,4
476811,4
454170,4
462532,4
486855,4
484032,4
501086,4
439082,4
439113,4
268327,4
261201,4
461268,4
256470,4
433562,4
492557,4
486851,4
492564,4
338439,4
510829,4
429210,4
529708,4
479636,4
531520,4
291817,4
471022,4
279146,4
284152,4
502307,4
468169,4
471113,4
276655,4
487784,4
434726,4
259809,4
525928,4
431964,4
508070,4
473987,4
468248,4
534340,4
508030,4
508029,4
438018,4
508018,4
508009,4
476791,4
528048,4
467017,4
441805,4
530996,4
485647,4
443390,4
454521,4
485653,4
482816,4
488463,4
531397,4
485654,4
460037,4
508663,4
529312,4
534376,4
523379,4
526418,4
526435,4
432315,4
437863,4
468558,4
424047,4
272148,4
432308,4
462874,4
429555,4
432666,4
531416,4
277076,4
516867,4
451730,4
433526,4
520364,4
467046,4
486850,4
495376,4
515912,4
258832,4
447396,4
501074,4
265946,4
433515,4
495422,4
436347,4
489718,4
458521,4
439227,4
444604,4
462570,4
283093,4
436290,4
469831,4
523975,4
460108,4
494195,4
497026,4
470842,4
250895,4
337376,4
502541,4
445901,4
504955,4
530221,4
485118,4
263169,4
478050,4
480949,4
455438,4
455379,4
459185,4
492207,4
533206,4
517747,4
533219,4
447776,4
466628,4
277695,4
512043,4
509265,4
512071,4
496662,4
529335,4
458124,4
478019,4
458167,4
478103,4
460918,4
275220,4
506487,4
272807,4
509230,4
489349,4
530466,4
496265,4
510491,4
482120,4
490611,4
490629,4
487782,4
516216,4
496261,4
527586,4
486554,4
453513,4
517690,4
263133,4
517691,4
483708,4
532319,4
489352,4
435974,4
456345,4
469432,4
456363,4
466621,4
524639,4
506403,4
466622,4
509228,4
452610,4
500742,4
295412,4
497875,4
449842,4
497884,4
487613,4
485288,4
490950,4
505169,4
423765,4
274187,4
264482,4
432260,4
521737,4
533898,4
493809,4
493811,4
459703,4
482476,4
499468,4
520022,4
426478,4
522967,4
426449,4
269339,4
485308,4
266860,4
522965,4
524047,4
514907,4
456916,4
495069,4
447085,4
495066,4
475178,4
514931,4
480918,4
472333,4
463774,4
469420,4
317369,3
234759,3
375172,3
531966,3
228359,3
322922,3
304555,3
363330,3
238659,3
324475,3
309215,3
316277,3
312608,3
525947,3
314994,3
338650,3
304575,3
318403,3
317152,3
383961,3
311333,3
334957,3
319457,3
320694,3
346772,3
344563,3
326924,3
314993,3
322903,3
319681,3
320663,3
320923,3
486126,3
375215,3
312630,3
336295,3
320919,3
313657,3
320696,3
333852,3
339743,3
318391,3
364520,3
511092,3
302280,3
363982,3
527636,3
275178,3
275167,3
304890,3
404508,3
368123,3
365448,3
277387,3
374889,3
391173,3
287624,3
280733,3
280713,3
372216,3
300169,3
315806,3
293260,3
276054,3
498213,3
316251,3
528012,3
531980,3
521195,3
266692,3
258079,3
260013,3
265427,3
248873,3
269673,3
278761,3
270629,3
268542,3
320103,3
272833,3
328262,3
524883,3
330754,3
500847,3
244557,3
293286,3
246814,3
290946,3
315169,3
308172,3
310480,3
310515,3
305821,3
298981,3
312813,3
312822,3
528908,3
522991,3
232638,3
313920,3
306890,3
306913,3
313887,3
306870,3
306861,3
387133,3
237903,3
302459,3
395518,3
319008,3
295570,3
295589,3
398341,3
398332,3
395536,3
389908,3
240104,3
286362,3
304761,3
389916,3
314153,3
284037,3
290986,3
384441,3
286380,3
236962,3
