,0
428299,102
533766,102
424409,101
393714,99
416797,99
412999,98
195751,98
389966,98
384970,98
533401,97
383839,97
378919,97
530422,97
375283,96
375172,96
520138,96
405546,96
408115,96
380293,96
410659,96
376657,95
518858,95
383961,95
510018,95
388974,95
384028,95
401843,95
524805,95
406997,95
518916,95
515912,95
399283,95
381590,95
521835,95
369308,95
381613,95
379161,95
366896,95
379162,95
396788,95
370584,94
393023,94
378055,94
387898,94
387905,94
520545,94
385356,94
373104,94
387947,94
393033,94
363330,94
395532,94
517914,94
395525,94
382932,94
382931,94
375510,94
403185,94
497129,94
393034,94
408340,94
395542,94
368216,94
398082,94
393051,94
398094,94
380507,94
373078,94
400653,94
390398,94
390445,94
390404,94
367148,93
389231,93
364700,93
376917,93
507619,93
379414,93
381841,93
384292,93
381853,93
359772,93
381872,93
534340,93
364520,93
380696,92
375752,92
375774,92
373316,92
485846,92
353848,92
356228,92
485866,92
368427,92
488750,92
373341,92
524047,92
365983,92
378226,92
503393,92
475817,91
490453,91
348019,91
350429,91
493398,91
355104,91
376006,90
378483,90
344562,90
371133,90
322922,90
521737,90
346772,90
368644,90
322903,90
334957,90
344563,90
524639,90
373558,90
486288,90
527586,90
366247,90
530466,90
518915,90
339743,90
464335,89
479211,89
520440,89
336295,89
473366,89
317152,89
532235,89
372435,89
511919,89
509115,89
333852,89
369378,89
319457,89
514766,89
341067,89
338650,89
318403,88
533720,88
361544,88
361540,88
342393,88
320696,88
513464,88
525027,88
320694,88
320663,88
350758,88
313657,88
466213,88
363990,88
318391,88
363965,88
311333,88
354303,88
530805,88
339977,88
337592,88
356661,88
511891,87
515100,87
324469,87
517886,87
525793,87
523734,87
324475,87
314994,87
523781,87
512236,87
314993,87
528611,87
317369,87
503660,87
353200,87
303298,87
529515,87
520194,87
529584,87
346069,87
532539,87
312608,87
532499,87
534277,87
532471,87
312630,87
523009,87
467818,87
506436,87
375215,87
517338,87
500976,87
531457,87
341214,87
526637,87
526636,87
326924,87
514622,87
319681,87
514719,87
355591,87
509147,87
340164,86
320923,86
320919,86
495941,86
494009,86
534085,86
516682,86
513780,86
534086,86
525411,86
533929,86
519403,86
309215,86
316277,86
519553,86
304575,86
304555,86
344956,86
491133,86
330603,86
508073,86
352152,86
502541,86
346130,86
469583,86
302280,86
316251,86
302264,86
302260,86
502489,86
490153,86
349723,86
300001,86
466620,86
336292,86
328174,86
306861,86
306870,86
493032,86
531190,86
531189,86
313887,86
325767,86
342584,86
325812,86
306913,86
306890,86
313920,86
511007,86
522489,86
522488,86
343683,86
522470,86
528255,86
525382,86
496856,86
319858,85
312851,85
524079,85
312822,85
312813,85
459570,85
521266,85
489968,85
329538,85
329551,85
483006,85
331934,85
331947,85
529878,85
332751,85
484262,85
521217,85
532097,85
291998,85
298981,85
298938,85
336734,85
487028,85
487040,85
481470,85
481456,85
305821,85
327131,85
310536,85
310515,85
310480,85
322229,85
322262,85
512609,85
526989,85
526990,85
308172,85
478605,85
492762,85
492730,85
518214,85
518276,85
327099,85
518275,85
296624,85
515522,85
515500,85
515471,85
315169,85
516184,85
317573,85
317528,85
387133,84
532670,84
480206,84
482974,84
482981,84
468750,84
482992,84
290952,84
331653,84
483010,84
480194,84
290985,84
302459,84
330882,84
286362,84
286380,84
531609,84
468798,84
514205,84
384441,84
478860,84
290986,84
474479,84
279474,84
525699,84
284037,84
314153,84
528627,84
528615,84
531578,84
474492,84
389916,84
304761,84
502922,84
395518,84
485821,84
522825,84
389908,84
531598,84
395536,84
398332,84
398341,84
295589,84
295570,84
525735,84
319008,84
514150,84
290946,84
480199,84
293286,84
530087,84
334078,84
511387,84
293260,84
288679,84
517010,84
534494,84
477317,84
511425,84
477343,84
471590,84
519977,84
517034,84
534543,84
321144,84
465969,84
300169,84
329768,83
481784,83
320115,83
282951,83
528787,83
325583,83
510059,83
510072,83
292211,83
526402,83
303774,83
303751,83
372216,83
473262,83
521497,83
518661,83
420112,83
510084,83
464703,83
527397,83
481768,83
527408,83
289916,83
308444,83
521687,83
524365,83
320144,83
461854,83
280713,83
280732,83
476078,83
473237,83
473252,83
481765,83
280733,83
513880,83
467503,83
287624,83
498765,83
531381,83
512888,83
533209,83
285315,83
322509,83
391173,83
374889,83
530602,83
324912,83
533221,83
524490,83
512895,83
276191,83
324962,83
498805,83
470329,83
504494,83
519122,83
533208,83
478901,83
322533,83
533198,83
533191,83
498832,83
493109,83
467480,83
507357,83
287662,83
310715,83
511426,83
516510,83
507313,83
507343,83
504484,83
526114,82
324412,82
491925,82
531943,82
491876,82
491875,82
522475,82
526095,82
486081,82
499877,82
526098,82
486230,82
504977,82
295855,82
531985,82
500361,82
486211,82
500367,82
486260,82
511724,82
500368,82
486261,82
486210,82
503208,82
500387,82
500403,82
517334,82
531959,82
407600,82
491850,82
503211,82
491866,82
277387,82
523194,82
463420,82
520264,82
365448,82
490997,82
512462,82
284299,82
457854,82
457798,82
314323,82
520279,82
321959,82
523187,82
302723,82
368123,82
497536,82
483384,82
483405,82
497537,82
483410,82
483413,82
493920,82
309663,82
476390,82
506017,82
497315,82
514977,82
520331,82
497548,82
471943,82
489082,82
506027,82
529027,82
502391,82
514523,82
494773,82
311987,82
514527,82
497515,82
305019,82
304990,82
404913,82
494731,82
497519,82
528956,82
415848,82
528976,82
404508,82
489018,82
494711,82
489035,82
275167,82
275178,82
489034,82
494723,82
520262,82
413068,82
508854,82
508865,82
508866,82
527723,81
521870,81
527704,81
511248,81
294778,81
513359,81
465015,81
445535,81
499101,81
462195,81
493433,81
493439,81
493459,81
443286,81
478065,81
276054,81
499104,81
499099,81
294759,81
363982,81
521916,81
521913,81
389851,81
276401,81
531378,81
476441,81
476470,81
493491,81
290129,81
501981,81
508766,81
519020,81
392557,81
269717,81
518702,81
505792,81
292442,81
518675,81
292426,81
528784,81
439939,81
532165,81
482149,81
482147,81
519070,81
316023,81
530633,81
301478,81
